corine_code,label,total_area_km2,percent_of_lc_is_void,percent_of_total_voids_is_lc
311,Broad-leaved forest,15.2995,89.66044641981765,30.029377897838472
221,Vineyards,14.033000000000001,84.40604289888121,25.929387967758743
243,"Land principally occupied by agriculture, with significant areas of natural vegetation",11.3862,90.33391298238217,22.516341729311787
231,Pastures,4.1168000000000005,89.92421298095609,8.104096706260426
112,Discontinuous urban fabric,2.0639000000000003,83.11933717718881,3.7554235277119825
242,Complex cultivation patterns,1.4994,81.09910630919033,2.6619615329045594
223,Olive groves,1.2753,85.2583705794715,2.3802226765848085
312,Coniferous forest,0.92,88.94565217391305,1.7913512519537835
331,"Beaches, dunes, sands",0.774,80.20671834625323,1.3590014141670643
Unknown_0,Unknown,0.4184,94.00095602294455,0.8609781832988184
313,Mixed forest,0.3098,90.21949644932215,0.6118571122095594
