Value,CODE_18,Label,Total_Cells,Cells_with_Data,Mean_Density,Median_Density,Std_Density,Min_Density,Max_Density,P25_Density,P75_Density,High_Reliability_Cells,Medium_Reliability_Cells,Low_Reliability_Cells,No_Data_Cells,High_Reliability_Pct,Medium_Reliability_Pct,Low_Reliability_Pct,No_Data_Pct
23,311,Broad-leaved forest,152995,15819,10440.609,10000.0,2110.0176,10000.0,40000.0,10000.0,10000.0,0,15819,0,137176,0.0,10.33955358018236,0.0,89.66044641981765
15,221,Vineyards,140330,21883,10393.456,10000.0,1958.211,10000.0,30000.0,10000.0,10000.0,0,21883,0,118447,0.0,15.593957101118791,0.0,84.40604289888121
21,243,"Land principally occupied by agriculture, with significant areas of natural vegetation",113862,11006,10397.056,10000.0,1975.7955,10000.0,30000.0,10000.0,10000.0,0,11006,0,102856,0.0,9.666087017617818,0.0,90.33391298238219
18,231,Pastures,41168,4148,10332.69,10000.0,1872.3026,10000.0,30000.0,10000.0,10000.0,0,4148,0,37020,0.0,10.075787019043918,0.0,89.92421298095609
2,112,Discontinuous urban fabric,20639,3484,10470.724,10000.0,2144.8691,10000.0,30000.0,10000.0,10000.0,0,3484,0,17155,0.0,16.880662822811182,0.0,83.11933717718881
20,242,Complex cultivation patterns,14994,2834,10426.958,10000.0,2073.4043,10000.0,30000.0,10000.0,10000.0,0,2834,0,12160,0.0,18.900893690809657,0.0,81.09910630919035
17,223,Olive groves,12753,1880,10489.361,10000.0,2181.8628,10000.0,30000.0,10000.0,10000.0,0,1880,0,10873,0.0,14.741629420528502,0.0,85.2583705794715
24,312,Coniferous forest,9200,1017,10324.483,10000.0,1771.877,10000.0,20000.0,10000.0,10000.0,0,1017,0,8183,0.0,11.054347826086957,0.0,88.94565217391305
30,331,"Beaches, dunes, sands",7740,1532,10496.084,10000.0,2201.2007,10000.0,30000.0,10000.0,10000.0,0,1532,0,6208,0.0,19.79328165374677,0.0,80.20671834625323
0,Unknown_0,Unknown,4184,251,10438.247,10000.0,2047.0492,10000.0,20000.0,10000.0,10000.0,0,251,0,3933,0.0,5.999043977055449,0.0,94.00095602294455
25,313,Mixed forest,3098,303,10132.014,10000.0,1141.3606,10000.0,20000.0,10000.0,10000.0,0,303,0,2795,0.0,9.780503550677857,0.0,90.21949644932214
